support,itemsets
0.7952820326348803,frozenset({'tv'})
0.571883096222899,frozenset({'laptop'})
0.5143857097404664,frozenset({'chair'})
0.3321212672151266,frozenset({'clock'})
0.2719876369255943,frozenset({'remote'})
0.21103586200627245,frozenset({'keyboard'})
0.9307758738239171,frozenset({'person'})
0.4081178128266897,frozenset({'cell phone'})
0.3600745420662697,frozenset({'cup'})
0.35875642016271986,frozenset({'cat'})
0.2386709695013863,frozenset({'potted plant'})
0.18326439707286032,frozenset({'vase'})
0.16812872142175356,frozenset({'pizza'})
0.16308349620471796,frozenset({'donut'})
0.10781328121449026,frozenset({'couch'})
0.10058633698468251,frozenset({'toothbrush'})
0.4182082632607609,frozenset({'train'})
0.35525657924639786,frozenset({'bottle'})
0.26244261624471615,frozenset({'car'})
0.3623926185173401,frozenset({'dining table'})
0.341802645334303,frozenset({'book'})
0.2982137175582928,frozenset({'refrigerator'})
0.2305349756829235,frozenset({'oven'})
0.20239989091404936,frozenset({'cake'})
0.13844825235216582,frozenset({'umbrella'})
0.2817599200036362,frozenset({'tie'})
0.24580700877232853,frozenset({'bench'})
0.16790145902458978,frozenset({'teddy bear'})
0.23371664924321622,frozenset({'microwave'})
0.15649288668696879,frozenset({'bus'})
0.12217626471524022,frozenset({'boat'})
0.12885777919185493,frozenset({'handbag'})
0.34230262260806327,frozenset({'dog'})
0.1362210808599609,frozenset({'bowl'})
0.12603972546702422,frozenset({'broccoli'})
0.1344938866415163,frozenset({'bed'})
0.11654015726557884,frozenset({'suitcase'})
0.11590382255352029,frozenset({'parking meter'})
0.10472251261306305,frozenset({'truck'})
0.7486023362574429,"frozenset({'person', 'tv'})"
0.5353847552383982,"frozenset({'tv', 'laptop'})"
0.5315212944866142,"frozenset({'person', 'laptop'})"
0.4987500568155993,"frozenset({'person', 'tv', 'laptop'})"
0.4173901186309713,"frozenset({'tv', 'chair'})"
0.28435071133130313,"frozenset({'chair', 'laptop'})"
0.49965910640425437,"frozenset({'person', 'chair'})"
0.40679969092313983,"frozenset({'person', 'tv', 'chair'})"
0.26635152947593294,"frozenset({'chair', 'tv', 'laptop'})"
0.2756692877596473,"frozenset({'person', 'chair', 'laptop'})"
0.2586246079723649,"frozenset({'person', 'chair', 'tv', 'laptop'})"
0.2780782691695832,"frozenset({'clock', 'tv'})"
0.20758147356938322,"frozenset({'clock', 'laptop'})"
0.14558429162310804,"frozenset({'clock', 'chair'})"
0.3001227216944684,"frozenset({'clock', 'person'})"
0.15408390527703286,"frozenset({'clock', 'cell phone'})"
0.13976637425571564,"frozenset({'cat', 'clock'})"
0.12435798372801236,"frozenset({'cup', 'clock'})"
0.1775828371437662,"frozenset({'clock', 'train'})"
0.11981273578473706,"frozenset({'clock', 'bottle'})"
0.12667606017908276,"frozenset({'book', 'clock'})"
0.11072223989818644,"frozenset({'dining table', 'clock'})"
0.13667560565428843,"frozenset({'clock', 'dog'})"
0.2533066678787328,"frozenset({'person', 'clock', 'tv'})"
0.19735466569701376,"frozenset({'clock', 'tv', 'laptop'})"
0.18671878550974955,"frozenset({'person', 'clock', 'laptop'})"
0.17790100449979546,"frozenset({'person', 'clock', 'tv', 'laptop'})"
0.12317621926276079,"frozenset({'clock', 'tv', 'chair'})"
0.13849370483159856,"frozenset({'clock', 'person', 'chair'})"
0.11767646925139766,"frozenset({'person', 'clock', 'tv', 'chair'})"
0.14576610154083905,"frozenset({'clock', 'person', 'cell phone'})"
0.13344847961456296,"frozenset({'clock', 'tv', 'cell phone'})"
0.10244988864142539,"frozenset({'clock', 'cell phone', 'laptop'})"
0.12653970274078452,"frozenset({'person', 'clock', 'tv', 'cell phone'})"
0.1308122358074633,"frozenset({'person', 'cat', 'clock'})"
0.1204490704967956,"frozenset({'clock', 'cat', 'tv'})"
0.11326757874642061,"frozenset({'person', 'clock', 'cat', 'tv'})"
0.11626744238898232,"frozenset({'cup', 'clock', 'person'})"
0.10367710558610972,"frozenset({'cup', 'clock', 'tv'})"
0.1607199672742148,"frozenset({'clock', 'person', 'train'})"
0.15003863460751785,"frozenset({'clock', 'tv', 'train'})"
0.10840416344711604,"frozenset({'clock', 'laptop', 'train'})"
0.1368119630925867,"frozenset({'person', 'clock', 'tv', 'train'})"
0.10363165310667696,"frozenset({'clock', 'tv', 'laptop', 'train'})"
0.11431298577337394,"frozenset({'clock', 'person', 'bottle'})"
0.11672196718330985,"frozenset({'book', 'clock', 'person'})"
0.11104040725421571,"frozenset({'book', 'clock', 'tv'})"
0.10267715103858915,"frozenset({'book', 'person', 'clock', 'tv'})"
0.10058633698468251,"frozenset({'dining table', 'clock', 'person'})"
0.130312258533703,"frozenset({'clock', 'person', 'dog'})"
0.11267669651379483,"frozenset({'clock', 'tv', 'dog'})"
0.10822235352938503,"frozenset({'person', 'clock', 'tv', 'dog'})"
0.22098995500204535,"frozenset({'tv', 'remote'})"
0.17094677514658424,"frozenset({'laptop', 'remote'})"
0.14467524203445298,"frozenset({'chair', 'remote'})"
0.10822235352938503,"frozenset({'clock', 'remote'})"
0.25894277532839416,"frozenset({'person', 'remote'})"
0.1701286305167947,"frozenset({'cell phone', 'remote'})"
0.12140357256488342,"frozenset({'cat', 'remote'})"
0.11040407254215717,"frozenset({'cup', 'remote'})"
0.10644970683150766,"frozenset({'bottle', 'remote'})"
0.10799509113222126,"frozenset({'book', 'remote'})"
0.11672196718330985,"frozenset({'remote', 'dog'})"
