support,itemsets
0.9417314670813893,frozenset({'person'})
0.858372213582167,frozenset({'tv'})
0.6264385692068429,frozenset({'laptop'})
0.3355106272680145,frozenset({'cup'})
0.3135303265940902,frozenset({'cat'})
0.30316226023846554,frozenset({'dog'})
0.30254017625712804,frozenset({'tie'})
0.1332296526697771,frozenset({'bowl'})
0.4702954898911353,frozenset({'train'})
0.35997926386728873,frozenset({'bottle'})
0.5502332814930015,frozenset({'chair'})
0.39388284085018144,frozenset({'cell phone'})
0.34442716433385173,frozenset({'dining table'})
0.2931052358735096,frozenset({'microwave'})
0.29009849663037846,frozenset({'car'})
0.2758942457231726,frozenset({'oven'})
0.2671850699844479,frozenset({'remote'})
0.2639709694142042,frozenset({'clock'})
0.2545360290305858,frozenset({'bench'})
0.2089165370658372,frozenset({'potted plant'})
0.14515292897874546,frozenset({'cake'})
0.12607568688439605,frozenset({'teddy bear'})
0.25152928978745465,frozenset({'keyboard'})
0.1534473820632452,frozenset({'pizza'})
0.13157076205287713,frozenset({'donut'})
0.31010886469673404,frozenset({'book'})
0.15790565059616382,frozenset({'bus'})
0.13374805598755832,frozenset({'vase'})
0.12576464489372732,frozenset({'traffic light'})
0.1088646967340591,frozenset({'couch'})
0.11985484707102126,frozenset({'suitcase'})
0.10876101607050286,frozenset({'handbag'})
0.11415241057542769,frozenset({'bed'})
0.3513737687921203,frozenset({'refrigerator'})
0.1168481078278901,frozenset({'parking meter'})
0.11829963711767755,frozenset({'truck'})
0.10917573872472784,frozenset({'boat'})
0.12897874546397098,frozenset({'sink'})
0.8136858475894245,"frozenset({'person', 'tv'})"
0.5983411093831,"frozenset({'tv', 'laptop'})"
0.591601866251944,"frozenset({'person', 'laptop'})"
0.565163297045101,"frozenset({'person', 'tv', 'laptop'})"
0.32731985484707105,"frozenset({'cup', 'person'})"
0.2889580093312597,"frozenset({'cup', 'tv'})"
0.20881285640228098,"frozenset({'cup', 'laptop'})"
0.21461897356143078,"frozenset({'cup', 'chair'})"
0.17957490927941938,"frozenset({'cup', 'bottle'})"
0.17128045619491966,"frozenset({'cup', 'dining table'})"
0.16236391912908243,"frozenset({'cup', 'cell phone'})"
0.13043027475375843,"frozenset({'cup', 'train'})"
0.14048729911871435,"frozenset({'refrigerator', 'cup'})"
0.2828408501814412,"frozenset({'cup', 'person', 'tv'})"
0.20393986521513738,"frozenset({'cup', 'person', 'laptop'})"
0.19948159668221876,"frozenset({'cup', 'tv', 'laptop'})"
0.12939346811819596,"frozenset({'cup', 'chair', 'laptop'})"
0.1951270088128564,"frozenset({'cup', 'person', 'tv', 'laptop'})"
0.12752721617418353,"frozenset({'cup', 'chair', 'person', 'laptop'})"
0.12369103162260238,"frozenset({'cup', 'chair', 'tv', 'laptop'})"
0.12213582166925868,"frozenset({'person', 'cup', 'chair', 'tv', 'laptop'})"
0.21181959564541214,"frozenset({'cup', 'person', 'chair'})"
0.18610679108346292,"frozenset({'cup', 'tv', 'chair'})"
0.18413685847589426,"frozenset({'cup', 'person', 'tv', 'chair'})"
0.17708657335406947,"frozenset({'cup', 'person', 'bottle'})"
0.15645412130637637,"frozenset({'cup', 'tv', 'bottle'})"
0.12109901503369622,"frozenset({'cup', 'chair', 'bottle'})"
0.10938310005184033,"frozenset({'cup', 'bottle', 'laptop'})"
